"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"14407","14407","010802060103","MA","Dead Branch",56.05,13850.93,"MA"
"14408","14408","010802060104","MA","Middle Branch Westfield River",136.85,33815.67,"MA"
"81035","81035","010802060105","MA","Little River-Westfield River",156.51,38674.74,"MA"
"8251","8251","010802060201","MA","Upper West Branch Westfield River",138.89,34320.38,"MA"
"81036","81036","010802060202","MA","Lower West Branch Westfield River",108.7,26859.11,"MA"
"14431","14431","010802060301","MA","Moose Meadow Brook-Westfield River",119.5,29529.8,"MA"
"81037","81037","010802060302","MA","Cobble Mountain Reservoir",117.89,29131.5,"MA"
"81041","81041","010802060303","MA","Little River",102.86,25416.19,"MA"
"80885","80885","010802060304","CT,MA","Great Brook",63.21,15620.35,"MA"
"808851","80885","010802060304","CT,MA","Great Brook",63.21,15620.35,"MA"
"13076","13076","010802060305","MA","Powdermill Brook-Westfield River",110.11,27209.21,"MA"
"80886","80886","010802070102","CT,MA","Sandy Brook",96.82,23924.12,"MA"
"808861","80886","010802070102","CT,MA","Sandy Brook",96.82,23924.12,"MA"
"14437","14437","010802070201","MA","Otis Reservoir",41.05,10142.97,"MA"
"14434","14434","010802070202","MA","Upper West Branch Farmington River",112.59,27822.34,"MA"
"81118","81118","010802070203","MA","Clam River",81.34,20098.48,"MA"
"80887","80887","010802070204","CT,MA","Lower West Branch Farmington River",152.24,37618.73,"MA"
"808871","80887","010802070204","CT,MA","Lower West Branch Farmington River",152.24,37618.73,"MA"
"80884","80884","010802070301","CT,MA","Hubbard River",54.11,13371.55,"MA"
"808841","80884","010802070301","CT,MA","Hubbard River",54.11,13371.55,"MA"
"15232","15232","010802070302","CT,MA","Valley Brook-East Branch Farmington River",116.91,28889.36,"MA"
"152321","15232","010802070302","CT,MA","Valley Brook-East Branch Farmington River",116.91,28889.36,"MA"
"80888","80888","010802070502","CT,MA","Salmon Brook",118.96,29394.94,"MA"
"808881","80888","010802070502","CT,MA","Salmon Brook",118.96,29394.94,"MA"
"15552","15552","010900010101","MA","Headwaters Parker River",56.22,13891.47,"MA"
"15487","15487","010900010102","MA","Outlet Parker River",169.9,41983.54,"MA"
"1621","1621","010900010201","MA","Upper Ipswich River",107.21,26491.24,"MA"
"1618","1618","010900010202","MA","Middle Ipswich River",88.11,21772.77,"MA"
"1626","1626","010900010203","MA","Fish Brook",46.94,11599.77,"MA"
"1627","1627","010900010204","MA","Howlett Brook",24.62,6084.37,"MA"
"1535","1535","010900010205","MA","Lower Ipswich River",131.4,32469.26,"MA"
"1519","1519","010900010301","MA","Essex Bay",72.07,17808.75,"MA"
"5184","5184","010900010302","MA","Jones River-Annisquam River",18.81,4648.61,"MA"
"15477","15477","010900010303","MA","Plum Island-Atlantic Ocean",71.84,17752.61,"MA"
"15475","15475","010900010304","MA","Ipswich Bay-Atlantic Ocean",41.31,10208.84,"MA"
"1543","1543","010900010305","MA","Sandy Bay-Atlantic Ocean",98.09,24238.72,"MA"
"15313","15313","010900010401","MA","Headwaters Saugus River",43.29,10698.36,"MA"
"1458","1458","010900010402","MA","Outlet Saugus River",71.36,17633.45,"MA"
"1628","1628","010900010501","MA","Aberjona River",66.22,16363.84,"MA"
"1516","1516","010900010502","MA","Mystic River",106.24,26252.4,"MA"
"1624","1624","010900010601","MA","Headwaters Charles River",136.3,33680.86,"MA"
"15322","15322","010900010602","MA","Chicken Brook-Charles River",94.65,23388.5,"MA"
"1629","1629","010900010603","MA","Bogastow Brook",66.36,16397.9,"MA"
"15553","15553","010900010604","MA","Stop River-Charles River",98.93,24445.33,"MA"
"1630","1630","010900010701","MA","Fuller Brook-Charles River",86.57,21392.49,"MA"
"15554","15554","010900010702","MA","Stony Brook",61.8,15271.44,"MA"
"11365","11365","010900010703","MA","Beaver Brook-Charles River",136.42,33709.8,"MA"
"1643","1643","010900010704","MA","Outlet Charles River",154.13,38087.51,"MA"
"1631","1631","010900010801","MA","Headwaters Neponset River",113.94,28154.36,"MA"
"1632","1632","010900010802","MA","East Branch Neponset River",74.25,18347.37,"MA"
"11367","11367","010900010803","MA","Outlet Neponset River",115.14,28452.28,"MA"
"792","792","010900010901","MA","Monatiquot River",118.66,29322.4,"MA"
"1634","1634","010900010902","MA","Weir River",47.68,11781.49,"MA"
"1640","1640","010900010903","MA","Hingham Bay-Frontal Quincy Bay",86.52,21380.07,"MA"
"15473","15473","010900011001","MA","Cape Ann-Atlantic Ocean",121.69,30069.03,"MA"
"5183","5183","010900011002","MA","Annisquam River-Gloucester Harbor",26.11,6451.16,"MA"
"1518","1518","010900011003","MA","North River-Massachusetts Bay",171.18,42298.74,"MA"
"1548","1548","010900011004","MA","Normans Woe-Massachusetts Bay",226.76,56032.61,"MA"
"15472","15472","010900011005","MA","Boston Harbor",62.46,15435.39,"MA"
"1645","1645","010900011006","MA","Broad Sound-Massachusetts Bay",103.11,25477.97,"MA"
"1517","1517","010900011007","MA","Nahant Bay-Massachusetts Bay",97.19,24017.13,"MA"
"1515","1515","010900011008","MA","Martin Ledge-Massachusetts Bay",161.53,39915.55,"MA"
"1641","1641","010900011009","MA","Quincy Bay",57.12,14115.74,"MA"
"15471","15471","010900011010","MA","Strawberry Ledge-Massachusetts Bay",101.4,25056.53,"MA"
"1633","1633","010900011011","MA","Aaron River-Cohasset Harbor",50.29,12427.01,"MA"
"1642","1642","010900011012","MA","Little Harbor-Massachusetts Bay",81.85,20224.57,"MA"
"1571","1571","010900020101","MA","Headwaters Indian Head River",60.03,14833.22,"MA"
"1572","1572","010900020102","MA","Indian Head River-North River",125.5,31010.75,"MA"
"1564","1564","010900020103","MA","Jones River",79.1,19545.77,"MA"
"15488","15488","010900020104","MA","Outlet North River",84.83,20960.92,"MA"
"1461","1461","010900020105","MA","Plymouth Bay",182.99,45217.47,"MA"
"1568","1568","010900020106","MA","Green Harbor River",20.88,5160.46,"MA"
"1573","1573","010900020107","MA","Massachusetts Bay-Cape Cod Bay",513.76,126952.83,"MA"
"1569","1569","010900020201","MA","Barnstable Harbor-Cape Cod Bay",1735.33,428808.21,"MA"
"1570","1570","010900020202","MA","Cape Cod National Seashore-Atlantic Ocean",387.92,95856.01,"MA"
"15483","15483","010900020203","MA","Hyannis Harbor-Frontal Nantucket Sound",1526.68,377250.26,"MA"
"1566","1566","010900020301","MA","Sippican River",81.79,20210.31,"MA"
"1460","1460","010900020302","MA","Weweantic River",155.89,38520.01,"MA"
"1567","1567","010900020303","MA","Agawam River-Buzzards Bay",143.12,35366.43,"MA"
"15486","15486","010900020304","MA","Red Brook-Onset Bay",84.83,20963.15,"MA"
