"","X","huc12","states","name","areasqkm","areaacres"
"20918","20918","020401040501","NY","Beaver Brook",60.96,15063.49
"20919","20919","020401040502","NY","Halfway Brook",73.34,18123.83
"20941","20941","020401010207","NY","Cannonsville Reservoir-West Branch Delaware River",136.81,33805.69
"20974","20974","020403010800","NJ,NY","020403010800-Atlantic Ocean",773.84,191221.05
"20987","20987","020401040308","NJ,NY","Lower Neversink River",113.14,27957.48
"20992","20992","020401010305","NY,PA","Sherman Creek-West Branch Delaware River",95.2,23524.65
"21003","21003","020401040504","NY,PA","Twin Lakes Creek-Delaware River",104.13,25731.28
"21008","21008","020401010102","NY","Betty Brook-West Branch Delaware River",65.14,16095.45
"21056","21056","020401010106","NY","Elk Brook-West Branch Delaware River",88.76,21931.82
"21060","21060","020401010103","NY","Rose Brook-West Branch Delaware River",66.07,16327.17
"21061","21061","020401010104","NY","Kidd Brook-West Branch Delaware River",70.97,17537.2
"21062","21062","020401010105","NY","Little Delaware River",135.13,33390.3
"21063","21063","020401010201","NY","Platner Brook-West Branch Delaware River",77.54,19160.46
"21064","21064","020401010202","NY","Bagley Brook-West Branch Delaware River",78.03,19282.38
"21065","21065","020401010203","NY","East Brook",64.87,16028.98
"21066","21066","020401010204","NY","Mallory Brook-West Branch Delaware River",57.65,14244.69
"22491","22491","020200040311","NY","Reall Creek-Mohawk River",98.98,24457.43
"22500","22500","020200040404","NY","Honnedaga Lake-West Canada Creek",75.39,18628.59
"22503","22503","020200040704","NY","Steele Creek",70.67,17463.9
"22504","22504","020200040706","NY","Bridenbecker Creek-Mohawk River",79.27,19587.11
"22505","22505","020200040804","NY","Middle Sprite Creek",52.95,13084.52
"22506","22506","020200040901","NY","Zimmerman Creek-Mohawk River",142.44,35198.17
"22511","22511","020200041004","NY","Headwaters Cayadutta Creek",70.65,17457.86
"22512","22512","020200041005","NY","Hall Creek-Cayadutta Creek",94.45,23339.71
"22513","22513","020200041106","NY","Headwaters Alplaus Kill",59.33,14660.48
"22514","22514","020200041107","NY","Indian Kill-Alplaus Kill",85.37,21095.87
"22516","22516","020200030102","NY,VT","Mill Brook-White Creek",126.14,31170.11
"22517","22517","020200030206","NY,VT","Steele Brook-Batten Kill",78.84,19482.58
"22519","22519","020200070505","NY","Vernooy Kill-Rondout Creek",101.95,25191.84
"22520","22520","020200070603","NY","Peters Kill-Rondout Creek",135,33358.06
"22521","22521","020200070604","NY","Coxing Kill-Rondout Creek",91.33,22569.35
"22522","22522","020200070605","NY","Twaalfskill Brook-Rondout Creek",73.29,18110.05
"22523","22523","020200080106","NY","Twaalfskill Creek-Hudson River",110.14,27216.54
"22534","22534","020200040906","NY","Upper Canajoharie Creek",58.79,14528.06
"22535","22535","020200040907","NY","Middle Canajoharie Creek",63.38,15662.53
"22536","22536","020200040908","NY","Lower Canajoharie Creek",53.48,13216.21
"22537","22537","020200050205","NY","Huntersfield Creek-Schoharie Creek",73.17,18080.3
"22538","22538","020200030704","NY,VT","Walloomsac River",149.78,37011.79
"22540","22540","020200050304","NY","Mill Creek-West Kill",78.98,19515.19
"22541","22541","020200050403","NY","Line Creek-Schoharie Creek",88.82,21947.3
"22542","22542","020200030703","NY,VT","Little White Creek",61.72,15252.05
"22543","22543","020200030804","NY,VT","Browns Brook-Hoosic River",105.62,26099.97
"22544","22544","020200030901","NY,VT","White Creek",51.15,12639.03
"22545","22545","020200060402","NY","Onesquethaw Creek",145.05,35841.43
"22546","22546","020200050503","NY","Beaverdam Creek-Fox Creek",54.5,13466.67
"22548","22548","020200050604","NY","Bear Gulch-Cobleskill Creek",63.71,15743.48
"22550","22550","020200060204","NY","Bozen Kill",94.99,23472.87
"22551","22551","020200060403","NY","Hannacrois Creek",170.73,42187.28
"22552","22552","020200060505","NY","Loomis Creek-Taghkanic Creek",128.71,31804.47
"22553","22553","020200060703","NY","Beaver Kill-Kaaterskill Creek",78.5,19398.69
"22554","22554","020200060802","NY","Squirmer Valley-Catskill Creek",104.61,25850.48
"22555","22555","020200020302","NY","Cherry Brook-Sacandaga River",32.26,7971.05
"22556","22556","020200060807","NY","Potic Creek",115.89,28636.78
"22557","22557","020200061105","NY","Mudder Kill-Hudson River",81.15,20051.59
"22558","22558","020200070303","NY","Middle Shawangunk Kill",107.42,26543.38
"22559","22559","020200070304","NY","Lower Shawangunk Kill",119.79,29600.96
"22560","22560","020200060905","NY","Ashokan Reservoir-Esopus Creek",205.8,50855.4
"22561","22561","020200070301","NY","Headwaters Shawangunk Kill",78.84,19481.72
"22562","22562","020200070302","NY","Upper Shawangunk Kill",76.3,18853.53
"22563","22563","020200070404","NY","Dwaar Kill",73.15,18076.85
"22564","22564","020200070501","NY","Sugarloaf Brook-Rondout Creek",123.95,30628.53
"22565","22565","020200070502","NY","Rondout Reservoir-Rondout Creek",122.43,30254.17
"22566","22566","020200070503","NY","Beer Kill",109.16,26974.63
"22567","22567","020200080301","NY","Whaley Lake Stream",46.25,11428.68
"22568","22568","020200080404","NY","Satterly Creek-Moodna Creek",67.2,16605.32
"22572","22572","020200080504","NY","Popolopen Creek",76.94,19011.32
"22580","22580","020200061002","MA,NY","Bash Bish Brook",82.63,20418.55
"22583","22583","020200030803","NY,VT","Ladd Brook-Hoosic River",68.44,16912.99
