"","X","huc12","states","name","areasqkm","areaacres"
"28689","28689","010802030103","VT","North Branch Deerfield River",144.81,35783.56
"28690","28690","010802030104","VT","West Branch Deerfield River",83.3,20584.64
"43071","43071","010801010502","VT","East Branch Nulhegan River",89.93,22222.89
"43264","43264","010801010304","CN,VT","Leach Creek",157.81,38995.58
"44226","44226","043001050302","VT","North Branch LaMoille River",157.16,38833.99
"44227","44227","043001050303","VT","Brewster River-Lamoille River",146.48,36197.13
"44228","44228","043001050304","VT","Seymour River-Lamoille River",132.29,32689.65
"44338","44338","043001090303","CN,VT","South River",181.97,44966.1
"44357","44357","043002020704","CN,VT","Tomifobia River",133.37,32956.07
"44367","44367","043002021404","CN,VT","Lake Memphremagog",478.59,118262.28
"44399","44399","043001030602","VT","Headwaters Little River",140.26,34660.01
"44400","44400","043001030603","VT","Little River",149.92,37045.05
"44401","44401","043001030604","VT","Joiner Brook-Winooski River",133.47,32982.02
"44402","44402","043001010203","NY,VT","Wells Brook-Mettawee River",135.34,33443.39
"44403","44403","043001010204","NY,VT","Indian River",95.78,23667.16
"44404","44404","043001010205","NY,VT","Mettawee River",152.04,37568.91
"44407","44407","043001070103","VT","Mineral Spring Brook-Missisquoi River",87.95,21733.1
"44454","44454","043002021201","VT","Headwaters Black River",125.65,31047.98
"44481","44481","043002021101","VT","Headwaters Barton River",64.83,16019.5
"44501","44501","043002021202","VT","Lamphean Brook-Black River",75.72,18711.68
"44506","44506","043002021203","VT","Lords Creek",41.32,10209.34
"44507","44507","043002021102","VT","Willoughby Brook-Barton River",136.66,33769.01
"44527","44527","043002021103","VT","Willoughby River",162.12,40059.96
"44536","44536","043002021104","VT","Barton River",61.8,15270.48
"44783","44783","043002021204","VT","Stony Brook-Black River",106.58,26336.66
"44797","44797","043002021302","VT","Seymour Lake",65.68,16229.46
"44799","44799","043002021301","VT","Headwaters Clyde River",169.26,41825.76
"44809","44809","043002021303","VT","Clyde River",138.19,34147.96
"44814","44814","043002020801","CN,VT","Averill Creek",48.3,11934.45
"44816","44816","043002020701","CN,VT","Headwaters Tomifobia River",137.54,33987.33
"44819","44819","043002020802","CN,VT","Headwaters Coaticook River",157.8,38993.68
"44821","44821","043002020702","CN,VT","Headwaters Niger River",95.24,23534.63
"44921","44921","043001050201","VT","Headwaters Browns River",99.67,24629.99
"44922","44922","043001050105","VT","Green River",50.1,12380.76
"44923","44923","043001050106","VT","Ryder Brook-Lamoille River",128.27,31697.34
"44924","44924","043001050107","VT","Kenfield Brook-Lamoille River",108.98,26928.49
"44925","44925","043001050202","VT","Browns River",139.25,34409.33
"44926","44926","043001050301","VT","Gihon River",167.93,41496.09
"44927","44927","043001050305","VT","Stones Brook-Lamoille River",87.88,21714.54
