"","huc14","states","name","areasqkm","areaacres"
"4480","07140204050601","IL","Headwaters Wendell Branch",20.37,5032.94
"4481","07140204050902","IL","Mill Creek",33.77,8343.96
"4482","07140204050901","IL","Lake Fork",31.55,7796.1
"4483","19010104040401","AK","Standing Rock Lake",16.69,4123.1
"4484","19010104050202","AK","19010104050202",12.68,3134.13
"4485","19010104020901","AK","19010104020901-Mount Tyee",11.7,2891.52
"4486","07140101030201","IL","Upper Canteen Creek",22.29,5508.58
"4487","07140101030103","IL","Pioneer Cemetery-Cahokia Creek",14.86,3671.29
"4488","07140101030102","IL","Judy's Branch",23.09,5706.11
"4489","07140101030101","IL","American Bottoms-Cahokia Creek",33.97,8392.93
"4490","07140101020506","IL","Little Mooney Creek",8.67,2141.19
"4491","19010104030107","AK","Middle Harding River",25.25,6240.47
"4492","19010104030601","AK","Upper Marten Creek",9.04,2233
"4493","19010104040808","AK","Lower Vixen Inlet",33.58,8296.58
"4494","07140101020403","IL","Dentons Branch-Sherry Creek",13.01,3215.8
"4495","07140101020602","IL","Upper Indian Creek",22.42,5540.5
"4496","07140101020202","IL","Vesper Lake-Cahokia Creek",20.64,5099.73
"4497","19010104010303","AK","Glacier Creek",36.72,9072.95
"4498","19010104050201","AK","Meyers Stream",8.26,2039.87
"4499","19010104020505","AK","19010104020505",6.86,1696.32
"4500","19010104040903","AK","19010104040903",13.66,3374.61
"4501","19010104030703","AK","19010104030703",15.34,3790.72
"4502","19010104030702","AK","19010104030702",9.68,2390.88
"4503","19010104030701","AK","19010104030701",4.4,1087.44
"4504","19010104020607","AK","Outlet East Fork Bradfield River",15.84,3914.3
"4505","19010104050204","AK","Niblack Hollow-Frontal Clarence Strait",97.1,23995.1
"4506","19010104030707","AK","19010104030707",10.76,2659.07
"4507","19010104030706","AK","19010104030706",10.14,2505.44
"4508","19010104040603","AK","19010104040603",15.61,3857.65
"4509","19010104040103","AK","Upper East Fork Anan Creek",27.44,6781.5
"4510","19010406010303","AK","19010406010303",17.09,4222.62
"4511","19010104040604","AK","Emerald Bay-Frontal Ernest Sound",33.17,8195.67
"4512","19010104020703","AK","19010104020703",4.43,1094.52
"4513","19010406010401","AK","Upper East Alsek River",19.52,4822.38
"4514","19010104020602","AK","19010104020602",30.99,7657.9
"4515","19010104020601","AK","19010104020601-Mount Cloud",37.26,9207.52
