"","huc4","states","name","areasqkm","areaacres"
"143","0316","AL,MS","Mobile-Tombigbee",56536.89,13970557.66
"144","0309","FL","Southern Florida",52388.22,12945400.87
"145","0310","FL","Peace-Tampa Bay",27514.67,6799016.08
"146","0306","GA,NC,SC","Ogeechee-Savannah",44164.21,10913203.3
"147","0317","AL,LA,MS","Pascagoula",32024.69,7913466.36
"148","0305","NC,SC","Edisto-Santee",61377.47,15166689.88
"149","0505","NC,TN,VA,WV","Kanawha",31723.29,7838988.97
"150","0513","KY,TN,VA","Cumberland",46390.69,11463380.12
"151","0507","KY,VA,WV","Big Sandy-Guyandotte",15469.98,3822712.74
"152","0602","AL,GA,NC,TN","Middle Tennessee-Hiwassee",13365.67,3302726.57
"153","0601","GA,KY,NC,SC,TN,VA,WV","Upper Tennessee",44787.94,11067332
"154","0604","KY,MS,TN","Lower Tennessee",20950.02,5176857.68
"155","0714","IL,KY,MO","Upper Mississippi-Kaskaskia-Meramec",44265.19,10938156.75
"156","0704","IA,MN,WI","Upper Mississippi-Black-Root",27869.67,6886738.22
"157","0705","MI,WI","Chippewa",24706.16,6105018.51
"158","0707","MI,WI","Wisconsin",30905.65,7636944.9
"159","0703","MN,WI","St. Croix",19994.59,4940765.4
"160","0805","AR,LA","Boeuf-Tensas",13713.5,3388677.25
"161","0809","LA,MS","Lower Mississippi",29242,7225850.33
"162","0804","AR,LA","Lower Red-Ouachita",53114.55,13124879.56
"163","0401","CN,MI,MN,WI","Western Lake Superior",25192.66,6225235.84
"164","1013","ND,SD","Missouri-Oahe",96051.94,23734929.15
"165","1016","ND,SD","James",54742.87,13527245.71
"166","1007","MT,WY","Upper Yellowstone",37452.9,9254805.86
"167","1008","MT,WY","Big Horn",59250.4,14641079.05
"168","1302","CO,NM","Rio Grande-Elephant Butte",70247.44,17358504.55
"169","1303","MX,NM,TX","Rio Grande-Mimbres",56316.22,13916028.44
"170","1306","NM,TX","Upper Pecos",60940.22,15058642.84
"171","1305","NM,TX","Rio Grande Closed Basins",45513.22,11246550.62
"172","1407","AZ,UT","Upper Colorado-Dirty Devil",35264.65,8714077.01
"173","1403","CO,UT","Upper Colorado-Dolores",21661.94,5352777.22
"174","1405","CO,UT,WY","White-Yampa",34342.6,8486234.77
"175","1408","AZ,CO,NM,UT","San Juan",64569.11,15955360.56
"176","1404","CO,UT,WY","Great Divide-Upper Green",53758.4,13283978.72
"177","1503","AZ,CA,MX,NV","Lower Colorado",53742.68,13280094
"178","1506","AZ","Salt",34900.88,8624187.76
"179","1505","AZ,MX","Middle Gila",46572.93,11508411.79
"180","1508","AZ,MX,NM","Sonora",62266.8,15386447.05
"181","1502","AZ,NM","Little Colorado",70077.49,17316509.5
"182","1501","AZ,NV,UT","Lower Colorado-Lake Mead",78401.75,19373477.39
"183","1504","AZ,NM","Upper Gila",39347.33,9722929.2
"184","1710","CA,OR,WA","Oregon-Washington Coastal",65241.72,16121566.23
"185","1601","ID,UT,WY","Bear",19462.7,4809334.25
"186","1603","NV,UT","Escalante Desert-Sevier Lake",42670.06,10543992.85
"187","1701","CN,ID,MT,WA","Kootenai-Pend Oreille-Spokane",134754.66,33298571.08
"188","1704","ID,MT,NV,UT,WY","Upper Snake",92909.9,22958516.75
"189","1712","CA,NV,OR","Oregon Closed Basins",45143.34,11155152.98
"190","1707","OR,WA","Middle Columbia",77451.4,19138641.59
"191","1801","CA,OR","Klamath-Northern California Coastal",67761.72,16744270.6
"192","1708","OR,WA","Lower Columbia",16126.85,3985027.59
"193","1709","OR","Willamette",29688.77,7336249.11
"194","0411","OH,PA","Southern Lake Erie",7871.26,1945028.49
"195","0413","CN,NY,PA","Southwestern Lake Ontario",9111.28,2251444.61
"196","0412","NY,OH,PA","Lake Erie",5503.88,1360037.38
"197","0417","CN","Northeastern Lake Superior",38893.18,9610706.14
"198","0806","LA,MS","Lower Mississippi-Big Black",18332.83,4530135.96
"199","0803","AR,LA,MS,TN","Lower Mississippi-Yazoo",36393.78,8993090.16
"200","0801","AR,IL,KY,MO,MS,TN","Lower Mississippi-Hatchie",30464.2,7527862.01
"201","0808","LA","Louisiana Coastal",37809.41,9342901.47
"202","0903","CN,MN","Rainy",69589.76,17195987.77
"203","0902","CN,MN,ND,SD","Red",121916.5,30126195.9
"204","0904","CN,MT","Saskatchewan River",17605.16,4350327.12
"205","1019","CO,NE,WY","South Platte",62582.17,15464377.73
"206","1027","KS,MO,NE","Kansas",39531.06,9768328.45
"207","1030","KS,MO","Lower Missouri",26797.96,6621914.56
"208","1024","IA,KS,MO,NE","Missouri-Nishnabotna",35245.16,8709261.03
"209","1002","ID,MT,WY","Missouri Headwaters",36350.4,8982371.13
"210","1006","CN,MT,ND","Missouri-Poplar",34275.99,8469773.24
"211","1011","MT,ND,SD,WY","Missouri-Little Missouri",44633.43,11029149.81
"212","0420","CN,MI","Northern Lake Huron",35261.87,8713390.33
"213","0423","CN","Eastern Lake Huron",14446.69,3569851.34
"214","0422","CN","Eastern Georgia Bay",21563.79,5328522.7
"215","0425","CN","Northern Lake Erie",11819.72,2920714.06
"216","0426","CN,MI,NY,OH,PA","Lake Erie",26233.32,6482387.75
"217","0418","CN,MI,MN,WI","Lake Superior",84944.11,20990128.81
"218","0427","CN,NY","Lake Ontario and Niagara Peninsula",29063.07,7181635.34
"219","0428","CN,NY","Lake Ontario",20467.21,5057554.18
"220","1901","AK,CN","Southeast Alaska",281627.82,69591689.42
"221","1907","AK,CN","Upper Yukon River",310740.77,76785648.59
"222","1905","AK","Northwest Alaska",205756.27,50843436.38
"223","1906","AK,CN","Arctic Alaska",239017.2,59062385.14
"224","1908","AK,CN","Middle Yukon River",316856.66,78296915.65
"225","1015","NE,SD,WY","Niobrara",34961.16,8639082.85
"226","1017","IA,MN,NE,SD","Missouri-Big Sioux",40148.17,9920818.95
"227","0405","IN,MI","Southeastern Lake Michigan",33488.6,8275205.16
"228","0410","IN,MI,OH","Western Lake Erie",33122.72,8184794.73
"229","1903","AK","Southwest Alaska",354217.68,87529018.37
"230","1902","AK,CN","South Central Alaska",266283.19,65799951.18
"231","0424","CN,MI","Lake Huron",65095.46,16085423.88
"232","1909","AK","Lower Yukon River",234948,58056863.65
"233","0414","NY","Southeastern Lake Ontario",23341.76,5767868.55
"234","0429","CN,NY","Upper Saint Lawrence River",19753.64,4881225.51
"235","0202","MA,NJ,NY,VT","Upper Hudson",32801.64,8105455.73
"236","0430","CN,ME,NH,NY,VT","Middle Saint Lawrence River",34774.78,8593026.97
"237","0301","NC,VA","Chowan-Roanoke",49370.96,12199819.39
"238","0208","DE,MD,VA,WV","Lower Chesapeake",53570.45,13237535.27
"239","0206","DE,MD,PA","Upper Chesapeake",15207.83,3757932.28
"240","0205","MD,NY,PA","Susquehanna",71224.17,17599860.04
"241","0204","DE,MD,NJ,NY,PA,VA","Delaware-Mid Atlantic Coastal",46680.13,11534902.05
"242","0203","CT,NJ,NY,RI","Lower Hudson-Long Island",18979.89,4690028.03
"243","0110","CT,MA,NY,RI","Connecticut Coastal",12561.19,3103935.02
"244","2009","HI","Northwestern Hawaiian Islands",3296.48,814577.71
"245","1201","LA,TX","Sabine",25511.67,6304066.54
