"","X","huc12","states","name","areasqkm","areaacres","sorted_state"
"21155","21155","010400020702","ME","East Branch Nezinscot River",112.44,27783.98,"ME"
"20826","20826","010400020703","ME","Martin Stream",95.86,23686.54,"ME"
"21304","21304","010400020704","ME","Nezinscot River",110.05,27194.5,"ME"
"21334","21334","010400020801","ME","Gulf Island Pond-Androscoggin River",98.81,24416.85,"ME"
"20732","20732","010400020802","ME","Lake Auburn",47.58,11756.82,"ME"
"20728","20728","010400020803","ME","Stetson Brook-Androscoggin River",66.51,16435.66,"ME"
"20825","20825","010400020901","ME","Bryant Pond-Little Androscoggin River",100.87,24925.98,"ME"
"20750","20750","010400020902","ME","Andrews Brook-Little Androscoggin River",96.76,23910.39,"ME"
"16021","16021","010400020903","ME","Pennesseewassee Lake",57.56,14223.93,"ME"
"21303","21303","010400020904","ME","Stony Brook-Little Androscoggin River",108.78,26879.77,"ME"
"20729","20729","010400020905","ME","Thompson Lake",124.89,30860.57,"ME"
"20724","20724","010400020906","ME","Whitney Pond",39.26,9701.36,"ME"
"20720","20720","010400020907","ME","Waterhouse Brook",51.11,12629.37,"ME"
"20727","20727","010400020908","ME","Meadow Brook-Little Androscoggin River",75.67,18698.91,"ME"
"21318","21318","010400020909","ME","Marshall Pond-Bog Brook",119.12,29435.76,"ME"
"20725","20725","010400020910","ME","Taylor Pond-Little Androscoggin River",144.23,35639.05,"ME"
"20824","20824","010400021001","ME","Sabattus Pond",81.86,20228.16,"ME"
"22748","22748","010400021002","ME","Sabattus River",106.17,26234.1,"ME"
"20721","20721","010400021003","ME","Little River",70.33,17378.43,"ME"
"20722","20722","010400021004","ME","West Branch Denham Stream",47.36,11703.79,"ME"
"21316","21316","010400021005","ME","Newell Brook-Androscoggin River",133.75,33049.12,"ME"
"22746","22746","010400021006","ME","Cathance River",135.25,33420.87,"ME"
"21299","21299","010400021007","ME","Androscoggin River-Merrymeeting Bay",105.97,26185.32,"ME"
"40982","40982","010500010101","CN,ME","Monument Brook-North Lake",149.77,37009.89,"ME"
"39066","39066","010500010102","CN,ME","East Grand Lake",192.91,47668.95,"ME"
"40977","40977","010500010207","CN,ME","Spednic Lake",245.21,60592.82,"ME"
"59135","59135","010500010301","ME","Pleasant Lake",54.05,13355.43,"ME"
"59136","59136","010500010302","ME","Scraggly Lake",53.85,13306.3,"ME"
"15533","15533","010500010303","ME","Junior Stream",107.53,26570.86,"ME"
"59134","59134","010500010304","ME","Chain Stream",54.56,13482.42,"ME"
"59137","59137","010500010305","ME","Sysladobsis Lake",112.01,27677.5,"ME"
"59138","59138","010500010306","ME","Pocumcus Lake",83.43,20615.02,"ME"
"57621","57621","010500010307","ME","West Grand Lake",126.4,31234.46,"ME"
"59139","59139","010500010401","ME","East Musquash Lake",47.34,11697.07,"ME"
"59140","59140","010500010402","ME","East Branch Big Musquash Stream",88.2,21795.2,"ME"
"59141","59141","010500010403","ME","West Branch Big Musquash Stream",97.64,24127.15,"ME"
"59142","59142","010500010404","ME","Flipper Creek-Big Musquash Stream",41.84,10338.78,"ME"
"59143","59143","010500010501","ME","Headwaters Tomah Stream",54.07,13361.21,"ME"
