"","HUC_12","Pct_Land","Shape_Length","Shape_Area"
"270","010200010601",83.7993502018312,34781.9567499565,36570561.5521901
"271","010200010602",98.7380602765218,70082.8054042262,123806978.192247
"272","010200010701",74.0015608564351,26874.9487466472,26523477.797757
"273","010200010702",95.5824447446325,63446.3139832404,125242301.615471
"274","010200010703",92.9829733913172,61602.0414781991,73271456.0433529
"275","010200010704",99.4281239618433,37163.1561527356,37932161.9485346
"276","010200010801",87.7503319318433,43949.0754534613,65061320.7875992
"277","010200010802",87.5228654039063,28220.6715141345,30516740.8703376
"278","010200010803",97.0265758245725,32877.0669599668,39886129.8080878
"279","010200010804",94.1397277158384,33201.1582266036,32140082.472315
"280","010200010805",76.0878931495045,43915.3497761032,52227502.7893372
"281","010200010901",98.9764769258395,36963.137318391,40102041.0183194
"282","010200010902",98.5090898376499,26738.9074765631,30560963.6490063
"283","010200010903",87.5404014482098,48139.7938725893,64885790.4435265
"284","010200010904",91.7396739493896,108445.527734793,174924980.418742
"285","010200010905",69.878298410808,111099.675284165,241831385.35635
"286","010200010906",94.6240471555661,37956.6609775921,49458638.5680992
"287","010200010907",90.9312041593167,40712.5576466417,48478297.7327512
"288","010200011001",91.3416998815038,32919.2916330388,33413794.1522007
"289","010200011002",99.5634767698854,62691.1919474219,114414242.644468
"290","010200011003",99.9398234822145,38097.4045397082,53855626.0976078
"291","010200011004",68.5106349369328,58989.1761049789,113963459.840513
"292","010200011005",96.4174028846268,54312.9272150798,75684186.3598052
"293","010200011006",99.9670166565884,41715.8278933377,49106505.4615119
"294","010200011007",89.9263063123145,67885.2378908105,107956170.549841
"295","010200020101",94.9409005197075,36967.7779860586,39140330.2293284
"296","010200020102",88.6395445002863,96110.0267168119,169765327.145013
"297","010200020103",98.5295180809994,48224.0680633383,62229949.328725
"298","010200020104",88.9087622490724,37901.9632109849,47317684.6732401
"299","010200020105",79.2894277023966,111839.964754751,208606693.141558
"300","010200020106",92.1137257292651,62738.6169873883,118102946.526341
"301","010200020107",93.7034926320931,43449.5217032857,55268695.885452
"302","010200020108",99.1027305999224,43489.4856963187,53362275.3946241
"303","010200020201",95.3061989025761,52133.9029504909,81678901.2904215
"304","010200020202",99.9425569176883,52326.4969804368,64227384.7896766
"305","010200020203",97.1438468320947,27205.2813015635,28592790.2245374
"306","010200020204",99.5735923107381,90700.0657528542,206835036.951715
"307","010200020205",85.7433547908215,82199.9822354275,140650215.19145
"308","010200020301",97.8689965187413,50832.1686324481,53270719.0647227
"309","010200020302",98.8150818509544,48299.7263725347,60908261.4797103
"310","010200020303",99.4819375535497,34843.3814187317,45164675.5226813
"311","010200020304",97.6893453145058,50026.782852955,71510579.9879682
"312","010200020401",90.2843888177447,68476.0030819425,111730573.432489
"313","010200020402",99.5366270922705,70962.0773073232,104694181.357899
"314","010200020403",89.1895767607653,41623.9960164033,43943472.8371094
"315","010200020404",90.9117251916441,28042.1073889223,34167397.3122957
