OBJECTID_2019,OBJECTID_2015,TNMID_2019,TNMID_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC12_2019,HUC12_2015,NAME_2019,Name_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,TOHUC_2019,ToHUC_2015,NONCONTRIBUTINGAREAACRES_2019,NonContributingAcres_2015,NONCONTRIBUTINGAREASQKM_2019,NonContributingSqKm_2015
98118,78394,{149242B7-2381-49AB-9BAE-E2CD6739997F},{149242B7-2381-49AB-9BAE-E2CD6739997F},12859.71,12860,52.04,52.083,VT,VT,043001020303,041504020303,Neshobe River,Neshobe River,S,S,NM,NM,43001020304,41504020304,0,0,0,0
98119,78395,{4DC116EB-AE0E-44C1-AFC8-170A65086DC5},{4DC116EB-AE0E-44C1-AFC8-170A65086DC5},15781.2,15781,63.86,63.91305,VT,VT,043001020304,041504020304,Willow Brook-Otter Creek,Willow Brook-Otter Creek,S,S,TF,TF,43001020307,41504020307,0,0,0,0
98120,78396,{1ED56451-4313-4FE6-8E22-3CA44F767D44},{1ED56451-4313-4FE6-8E22-3CA44F767D44},24060.44,24060,97.37,97.443,VT,VT,043001020305,041504020305,Leicester River,Leicester River,S,S,TF,TF,43001020307,41504020307,0,0,0,0
98121,78397,{A08D2CEB-C39F-4193-A45F-1187ABE8EBC7},{A08D2CEB-C39F-4193-A45F-1187ABE8EBC7},40193.06,40193,162.66,162.78165,VT,VT,043001020306,041504020306,Middlebury River,Middlebury River,S,S,TF,TF,43001020307,41504020307,0,0,0,0
98122,78398,{70F0931A-0E11-4E9D-BA5B-C3BE78C84F7B},{70F0931A-0E11-4E9D-BA5B-C3BE78C84F7B},32631.45,32631,132.05,132.15555,VT,VT,043001020307,041504020307,Pleasant Brook-Otter Creek,Pleasant Brook-Otter Creek,S,S,TF,TF,43001020502,41504020502,0,0,0,0
98123,78399,{AFF89538-982F-4D78-A9FC-EE4008FB2602},{AFF89538-982F-4D78-A9FC-EE4008FB2602},28255.39,28255,114.35,114.43275,VT,VT,043001020401,041504020401,Upper Lemon Fair River,Upper Lemon Fair River,S,S,TF,TF,43001020402,41504020402,0,0,0,0
98124,78400,{F61417AD-1133-4EA6-816C-EF54EDA2799B},{F61417AD-1133-4EA6-816C-EF54EDA2799B},30166.63,30167,122.08,122.17635,VT,VT,043001020402,041504020402,Lower Lemon Fair River,Lower Lemon Fair River,S,S,TF,TF,43001020502,41504020502,0,0,0,0
98125,78401,{2F40011F-C45C-4E49-8FD0-DE5C1FE29E7E},{2F40011F-C45C-4E49-8FD0-DE5C1FE29E7E},38802.54,38648,157.03,156.5244,VT,VT,043001020501,041504020501,Dead Creek,Dead Creek,S,S,TF,TF,43001020502,41504020502,0,0,0,0
98126,78402,{34355D51-B6DF-42E2-8062-FC96276EFC17},{34355D51-B6DF-42E2-8062-FC96276EFC17},21749.64,21817,88.02,88.35885,VT,VT,043001020502,041504020502,Otter Creek,Otter Creek,S,S,TF,TF,43001080602,41504080602,0,0,0,0
98127,78403,{F64DCA73-BBBF-459A-9FA5-16C0856A0674},{F64DCA73-BBBF-459A-9FA5-16C0856A0674},22103.26,22103,89.45,89.51715,VT,VT,043001030101,041504030101,Headwaters Stevens Branch,Headwaters Stevens Branch,S,S,"TF,DD,IT","TF,DD,IT",43001030103,41504030103,0,0,0,0
98128,78404,{16650A6A-4C4B-4901-97FE-05E40A4E54C6},{16650A6A-4C4B-4901-97FE-05E40A4E54C6},30953,30953,125.26,125.35965,VT,VT,043001030102,041504030102,Jail Branch,Jail Branch,S,S,DM,DM,43001030103,41504030103,0,0,0,0
98129,78405,{BA67E390-2959-4F69-BAC3-5815D9041D85},{BA67E390-2959-4F69-BAC3-5815D9041D85},20677.59,20678,83.68,83.7459,VT,VT,043001030103,041504030103,Stevens Branch,Stevens Branch,S,S,"TF,DD,IT","TF,DD,IT",43001030204,41504030204,0,0,0,0
98130,78406,{3350672D-251D-4C5B-8B54-CBCD23ABE04B},{3350672D-251D-4C5B-8B54-CBCD23ABE04B},31312.94,31316,126.72,126.8298,VT,VT,043001030201,041504030201,Headwaters Winooski River,Headwaters Winooski River,S,S,"DM,TF","DM,TF",43001030202,41504030202,0,0,0,0
98131,78407,{F11CD4F0-E753-4ABE-9EA1-4394D2750ED0},{F11CD4F0-E753-4ABE-9EA1-4394D2750ED0},41078.78,41079,166.24,166.36995,VT,VT,043001030202,041504030202,Nasmith Brook-Winooski River,Nasmith Brook-Winooski River,S,S,NM,NM,43001030204,41504030204,0,0,0,0
98132,78408,{53B7CB6B-9E13-4433-88CC-A5A3A24BCACD},{53B7CB6B-9E13-4433-88CC-A5A3A24BCACD},33957.14,33957,137.42,137.52585,VT,VT,043001030203,041504030203,Kingsbury Branch,Kingsbury Branch,S,S,NM,NM,43001030204,41504030204,0,0,0,0
98133,78409,{7FB66291-98D9-4D57-BC31-A5699EA9A9CE},{7FB66291-98D9-4D57-BC31-A5699EA9A9CE},22235.69,22236,89.98,90.0558,VT,VT,043001030204,041504030204,Sodom Pond Brook-Winooski River,Sodom Pond Brook-Winooski River,S,S,TF,TF,43001030403,41504030403,0,0,0,0
98134,78410,{03C36A0F-E610-4CEF-BC09-8EAF281EE7E5},{03C36A0F-E610-4CEF-BC09-8EAF281EE7E5},21509.4,21509,87.05,87.11145,VT,VT,043001030301,041504030301,Headwaters North Branch Winooski River,Headwaters North Branch Winooski River,S,S,NM,NM,43001030302,41504030302,0,0,0,0
98135,78411,{8709A0D9-86FA-4FCB-9D3D-9D2893C2B597},{8709A0D9-86FA-4FCB-9D3D-9D2893C2B597},28301.26,28301,114.53,114.61905,VT,VT,043001030302,041504030302,North Branch Winooski River,North Branch Winooski River,S,S,NM,NM,43001030403,41504030403,0,0,0,0
98136,78412,{2576469B-43B1-4693-8CF9-506D267EC716},{2576469B-43B1-4693-8CF9-506D267EC716},34217.11,34217,138.47,138.57885,VT,VT,043001030401,041504030401,Headwaters Dog River,Headwaters Dog River,S,S,NM,NM,43001030402,41504030402,0,0,0,0
98137,78413,{E9EC091B-E1A9-44C5-BCD7-92A0358C0B0C},{E9EC091B-E1A9-44C5-BCD7-92A0358C0B0C},25272.81,25273,102.28,102.35565,VT,VT,043001030402,041504030402,Dog River,Dog River,S,S,NM,NM,43001030403,41504030403,0,0,0,0
98138,78414,{9333381A-2B18-4A22-AE37-47582A43F918},{9333381A-2B18-4A22-AE37-47582A43F918},21004.17,21004,85,85.0662,VT,VT,043001030403,041504030403,Great Brook-Winooski River,Great Brook-Winooski River,S,S,"DM,TF","DM,TF",43001030601,41504030601,0,0,0,0
98139,78415,{F7F2533A-8278-48D5-9519-83D2394A3494},{F7F2533A-8278-48D5-9519-83D2394A3494},25356.12,25356,102.61,102.6918,VT,VT,043001030501,041504030501,Headwaters Mad River,Headwaters Mad River,S,S,NM,NM,43001030502,41504030502,0,0,0,0
98140,78416,{75E1F20C-AE89-4756-A510-180985C0279A},{75E1F20C-AE89-4756-A510-180985C0279A},24368.14,24368,98.61,98.6904,VT,VT,043001030502,041504030502,Mill Brook-Mad River,Mill Brook-Mad River,S,S,NM,NM,43001030504,41504030504,0,0,0,0
91948,73394,{28498945-7DBC-4D13-963E-342CC64FDB14},{28498945-7DBC-4D13-963E-342CC64FDB14},11008.88,11009,44.55,44.58645,VT,VT,043001030503,041504030503,Shepard Brook,Shepard Brook,S,S,NM,NM,43001030504,41504030504,0,0,0,0
91949,73395,{D39A0F21-B723-4220-8097-36DD33DE7BD3},{D39A0F21-B723-4220-8097-36DD33DE7BD3},31389.91,31390,127.03,127.1295,VT,VT,043001030504,041504030504,Mad River,Mad River,S,S,NM,NM,43001030601,41504030601,0,0,0,0
91950,73396,{DB4E3FE9-5738-4F7B-97A4-5AE65AC9233B},{DB4E3FE9-5738-4F7B-97A4-5AE65AC9233B},25739.86,25740,104.17,104.247,VT,VT,043001030601,041504030601,Graves Brook-Winooski River,Graves Brook-Winooski River,S,S,TF,TF,43001030604,41504030604,0,0,0,0
91951,73397,{0606C91E-0A4F-4ACE-BDC9-316DBAE9256D},{0606C91E-0A4F-4ACE-BDC9-316DBAE9256D},34660.01,34660,140.26,140.373,VT,VT,043001030602,041504030602,Headwaters Little River,Headwaters Little River,S,S,IT,IT,43001030603,41504030603,0,0,0,0
91952,73398,{58A3AC5A-AA70-491B-AEAB-7F4A27B35851},{58A3AC5A-AA70-491B-AEAB-7F4A27B35851},37045.05,37045,149.92,150.03225,VT,VT,043001030603,041504030603,Little River,Little River,S,S,TF,TF,43001030604,41504030604,0,0,0,0
91953,73399,{D1D89B9E-0644-4693-9FEC-F5D028DFC230},{D1D89B9E-0644-4693-9FEC-F5D028DFC230},32982.02,32982,133.47,133.5771,VT,VT,043001030604,041504030604,Joiner Brook-Winooski River,Joiner Brook-Winooski River,S,S,"DM,TF","DM,TF",43001030702,41504030702,0,0,0,0
91954,73400,{BDBFF736-3C2D-4E9F-AB78-98F409235B9C},{BDBFF736-3C2D-4E9F-AB78-98F409235B9C},42522.9,42523,172.08,172.21815,VT,VT,043001030701,041504030701,Huntington River,Huntington River,S,S,NM,NM,43001030702,41504030702,0,0,0,0
91955,73401,{281C3FB1-F9FD-4B53-B2DA-A2410BD53993},{281C3FB1-F9FD-4B53-B2DA-A2410BD53993},37580.6,37581,152.08,152.20305,VT,VT,043001030702,041504030702,Snipe Island Brook-Winooski River,Snipe Island Brook-Winooski River,S,S,TF,TF,43001030704,41504030704,0,0,0,0
91956,73402,{AE1B601A-DAFF-490B-9CA0-64B3DABD1FB5},{AE1B601A-DAFF-490B-9CA0-64B3DABD1FB5},13615.17,13615,55.1,55.14075,VT,VT,043001030703,041504030703,Muddy Brook,Muddy Brook,S,S,TF,TF,43001030704,41504030704,0,0,0,0
91957,73403,{A595848A-4E64-4425-9FF3-D240AE4E7705},{A595848A-4E64-4425-9FF3-D240AE4E7705},31575.05,31572,127.78,127.8666,VT,VT,043001030704,041504030704,Winooski River,Winooski River,S,S,TF,TF,43001081604,41504081604,0,0,0,0
59344,41951,{952DD0E5-30C7-456C-9514-D0A72A36D21E},{952DD0E5-30C7-456C-9514-D0A72A36D21E},27100.11,27100,109.67,109.669906,NY,NY,043001040101,041504040101,Headwaters East Branch Ausable River,Headwaters East Branch Ausable River,S,S,NM,NM,43001040103,41504040103,0,0,0,0
59345,41952,{88B8CFCC-550C-4FB3-895B-036CC75EDA41},{88B8CFCC-550C-4FB3-895B-036CC75EDA41},12571.23,12571,50.87,50.87307706,NY,NY,043001040102,041504040102,Johns Brook,Johns Brook,S,S,IT,IT,43001040103,41504040103,0,0,0,0
59346,41953,{169166C5-773B-45A4-A142-650CAF81A5BA},{169166C5-773B-45A4-A142-650CAF81A5BA},25059.01,25059,101.41,101.4102647,NY,NY,043001040103,041504040103,Upper East Branch Ausable River,Upper East Branch Ausable River,S,S,IT,IT,43001040104,41504040104,0,0,0,0
59347,41954,{A711EDD8-CC8D-4184-B5E8-8427F7805DE7},{A711EDD8-CC8D-4184-B5E8-8427F7805DE7},37807.8,37808,153,153.0036829,NY,NY,043001040104,041504040104,Middle East Branch Ausable River,Middle East Branch Ausable River,S,S,TF,TF,43001040105,41504040105,0,0,0,0
59348,41955,{6DE2C694-53EB-455C-8D73-35FE2295C67B},{6DE2C694-53EB-455C-8D73-35FE2295C67B},24274.72,24275,98.24,98.2375265,NY,NY,043001040105,041504040105,Lower East Branch Ausable River,Lower East Branch Ausable River,S,S,TF,TF,43001040301,41504040301,0,0,0,0
59349,41956,{1BEE190B-251F-423D-81C8-1293ABB7E28D},{1BEE190B-251F-423D-81C8-1293ABB7E28D},26497.76,26498,107.23,107.2336963,NY,NY,043001040201,041504040201,Chubb River,Chubb River,S,S,NM,NM,43001040202,41504040202,0,0,0,0
