TNMID_2019,TNMID_2015,LOADDATE_2019,LoadDate_2015,AREAACRES_2019,AreaAcres_2015,AREASQKM_2019,AreaSqKm_2015,STATES_2019,States_2015,HUC10_2019,HUC10_2015,HUTYPE_2019,HUType_2015,HUMOD_2019,HUMod_2015,NAME_2019,Name_2015
{7D08A62F-3CD3-44E3-AD58-760D7AC576DA},{7D08A62F-3CD3-44E3-AD58-760D7AC576DA},10/4/2019 10:49,10/24/2012 7:27,51303.93,51043,207.62,206.56,VT,VT,0430010805,0415040805,S,S,,,Lewis Creek,Lewis Creek
{BFCF669F-353B-4C79-BDAC-A2817CB02B95},{BFCF669F-353B-4C79-BDAC-A2817CB02B95},10/4/2019 10:49,10/24/2012 7:27,79902.13,79966,323.35,323.61,"NY,VT",NY,0430010806,0415040806,S,S,,,Northwest Bay-Lake Champlain,Northwest Bay-Lake Champlain
{6BB95202-9CC9-4AC6-A259-6F5F171FD19E},{6BB95202-9CC9-4AC6-A259-6F5F171FD19E},10/4/2019 10:49,10/24/2012 7:27,174953.43,174952,708.01,708.01,NY,NY,0430010807,0415040807,S,S,,,Bouquet River,Bouquet River
{CBC1BC64-F90D-4D52-9053-8725EBB7CEFF},{CBC1BC64-F90D-4D52-9053-8725EBB7CEFF},10/4/2019 10:49,10/24/2012 7:27,46971.85,47035,190.09,190.34,VT,VT,0430010808,0415040808,S,S,,,Shelburne Bay,Shelburne Bay
{D385FA04-7A08-4886-8A79-2D9502A3DBE5},{D385FA04-7A08-4886-8A79-2D9502A3DBE5},10/4/2019 10:49,10/24/2012 7:27,48922.57,48925,197.98,197.99,VT,VT,0430010809,0415040809,M,M,,,Malletts Bay,Malletts Bay
{734C36C4-0B43-4B06-8EAC-E25EF536F82C},{734C36C4-0B43-4B06-8EAC-E25EF536F82C},10/4/2019 10:49,10/24/2012 7:27,161475.04,161641,653.47,654.14,"CN,VT",CN,0430010810,0415040810,S,S,,,Riviere aux Brochets,Riviere aux Brochets
{45540947-8C77-433F-82C7-017B035B18F3},{45540947-8C77-433F-82C7-017B035B18F3},10/4/2019 10:49,10/24/2012 7:27,81462.55,81649,329.67,330.42,"CN,VT","CN,VT",0430010811,0415040811,S,S,,,Missisquoi Bay,Missisquoi Bay
{650DB9E6-B7C7-4F92-B427-7C37EB47D92E},{650DB9E6-B7C7-4F92-B427-7C37EB47D92E},10/4/2019 10:49,10/24/2012 7:27,145323.31,145498,588.1,588.81,"CN,VT","CN,VT",0430010812,0415040812,M,M,,,Saint Albans Bay-Lake Champlain,Lake Champlain Direct-Northeast Arm
{77FCF0A1-F81E-4C3A-8783-3F2575E2D0E7},{77FCF0A1-F81E-4C3A-8783-3F2575E2D0E7},10/4/2019 10:49,10/24/2012 7:27,47592.63,47593,192.6,192.6,NY,NY,0430010813,0415040813,S,S,,,Little Ausable River,Little Ausable River
{AD9840B8-562B-455A-A336-72086019597D},{AD9840B8-562B-455A-A336-72086019597D},10/4/2019 10:49,10/24/2012 7:27,43159.79,43160,174.66,174.66,NY,NY,0430010814,0415040814,S,S,,,Salmon River,Salmon River
{6D6C7097-6879-4013-9FEA-EE94E011D901},{6D6C7097-6879-4013-9FEA-EE94E011D901},10/4/2019 10:49,10/24/2012 7:27,192336.88,192265,778.36,778.07,"CN,NY","CN,NY",0430010815,0415040815,S,S,,,Great Chazy River,Great Chazy River
{6F6B797E-7C54-41E4-AC04-F917A8E9D559},{6F6B797E-7C54-41E4-AC04-F917A8E9D559},10/4/2019 10:49,10/24/2012 7:27,306078.37,305547,1238.66,1236.51,"CN,NY,VT",NY,0430010816,0415040816,S,S,,,Lake Champlain,Lake Champlain
{8EE197A2-C4DC-4699-A5B7-C748F35F7FA4},,10/4/2019 10:49,,83971.8,,339.82,,CN,,0430010901,,S,,,,Riviere des Hurons,
{1E379F8D-0FE6-4AF3-8AA1-F26279BBDB6C},,10/4/2019 10:49,,136581.37,,552.73,,"CN,NY",,0430010902,,S,,,,Riviere L'Acadie,
{7D29DE8F-911A-45CE-8331-829D4EE41FEE},{7D29DE8F-911A-45CE-8331-829D4EE41FEE},10/4/2019 10:49,10/24/2012 7:27,220231.12,631057,891.24,2553.8,"CN,NY,VT","CN,NY,VT",0430010903,0415040900,S,S,,,Riviere du Sud-Richelieu RIver,415040900
{AD309724-2304-4BE4-B6C3-14B3651875AB},,10/4/2019 10:49,,193167.49,,781.72,,CN,,0430010904,,S,,,,Ruisseau Laplante-Richelieu River,
{91C31B39-2132-4939-8294-B7C7550C5D31},{91C31B39-2132-4939-8294-B7C7550C5D31},10/4/2019 10:49,10/24/2012 7:27,75768.16,75768,306.62,306.62,NY,NY,0430020101,0415030801,S,S,,,Headwaters Chateaugay River,Headwaters Chateaugay River
