"","X","huc12","states","name","areasqkm","areaacres"
"33546","33546","010100080910","CN","Saint John Lake-Sisime des Aigles River",116.42,28767.08
"33547","33547","010100080805","CN","Clear Brook",64.7,15986.93
"33548","33548","010100070701","CN","Riviere des Pointes",81.43,20121.02
"33549","33549","010100080903","CN","Sisime Brook",59.78,14772.4
"33550","33550","010100070408","CN,ME","Riviere Gobeil",43.94,10856.74
"33551","33551","010100080907","CN","Biencourt Lake-Horton River",60.46,14938.83
"33552","33552","010100080906","CN","Riviere de l'Orient",45.02,11124.85
"33553","33553","010100080909","CN","Stony Brook-Horton River",82.93,20492.18
"33555","33555","010100080902","CN","Headwaters Horton River",59.09,14601.13
"33556","33556","010100080904","CN","Green River",48.22,11915.5
"33557","33557","010100080911","CN","Eagle Lake-Eagle River",94.99,23471.96
"33558","33558","010100080905","CN","Echo Lake-Riviere de l'Orient",80.26,19832.99
"33559","33559","010100080503","CN","Lower Little River",36.47,9011.78
"33560","33560","010100070304","CN,ME","Lower Depot Stream",69.32,17128.76
"33561","33561","010100070405","CN","Ruisseau Mort",44.14,10907.21
"33562","33562","010100080604","CN","Jerry Branch-Baker Brook",38.17,9430.83
"33563","33563","010100070404","CN","Riviere Ratsoul",62.43,15426.96
"33564","33564","010100070406","CN","Riviere de la Savane",45.2,11168.14
"33565","33565","010100070410","CN,ME","Charles Pond-Big Black River",91.3,22560.15
"33568","33568","010100070804","CN,ME","Pocwock Stream",69.99,17294.47
"33569","33569","010100081202","CN,ME","Patrick Brook-Saint John River",105.94,26178.72
"33571","33571","010100070802","CN,ME","West Branch Pocwock Stream",42.79,10572.42
"33573","33573","010100070702","CN,ME","East Lake",97.65,24129.8
"33575","33575","010100070905","CN,ME","Campbell Branch",61.48,15191.29
"33578","33578","010100070407","CN","Riviere Grand Calder",77.31,19102.71
"33580","33580","010100080501","CN","Rocky Brook",47.66,11777.78
"33582","33582","010100070902","CN,ME","Upper Little Black River",120.1,29677.66
"33585","33585","010100070903","CN","010100070903",67,16555.1
"33587","33587","010100080504","CN,ME","Hunnewell Island-Saint John River",170.97,42248.78
"33588","33588","010100070904","CN,ME","West Branch Little Black River",81.09,20037.87
"33590","33590","010100080409","CN,ME","Saint Francis River",70.89,17517.17
"33591","33591","010100070901","CN,ME","Beaver Branch",49.28,12177.44
"33592","33592","010100080405","CN,ME","Jones Brook",42.64,10536.16
"33593","33593","010100080502","CN","Upper Little River",91.57,22627.95
"33595","33595","010100080505","CN,ME","Vasseur Stream-Saint John River",103.7,25624.77
"33596","33596","010100080701","CN","Dry Creek",44.77,11063.38
"33598","33598","010100080401","CN,ME","Wildcat Brook",70.65,17458.1
"33600","33600","010100081201","CN,ME","Caron Brook",95.62,23628.33
"33601","33601","010100080406","CN,ME","Beau Lake-Saint Francis River",100.2,24759.25
"33603","33603","010100080404","CN,ME","Ruisseau des Sources-Saint Francis River",47.73,11795.29
"33604","33604","010100080602","CN","Kitchen Brook-Baker Lake",71.01,17547.81
"33605","33605","010100081203","CN,ME","Gagnon Brook-Saint John River",116.47,28779.26
"33607","33607","010100080702","CN","Lac Long",122.15,30183.79
"33608","33608","010100080206","CN,ME","Pohenegamook Lake-Saint Francis River",67.54,16688.3
"33609","33609","010100080402","CN","Providence Brook",53.7,13269.29
"33610","33610","010100080205","CN","Boucanee River",78.86,19486.02
"33611","33611","010100080304","CN","Southwest Blue River",37.83,9347.7
"33613","33613","010100080605","CN","Baker Brook",96.05,23733.81
"33614","33614","010100080305","CN","Lower Little Blue River",49.55,12244.14
